country,governorate,locationtypeend,demandtypeone,tacticprimary,violence,combined_sizes
Iraq,Babylon,Party building,Politics (national),Demonstration / protest,Brawl or gang violence,31.0
Iraq,Kerbala,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Corruption,Demonstration / protest,None,31.0
Iraq,Babylon,Government building,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Diyala,University,Corruption,Demonstration / protest,None,31.0
Iraq,Basrah,Cannot be determined,Corruption,Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Brawl or gang violence,3001.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,University,Politics (national),Demonstration / protest,None,301.0
Iraq,Diyala,Cannot be determined,Politics (national),Demonstration / protest,None,31.0
Iraq,Missan,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Politics (national),Demonstration / protest,None,31.0
Iraq,Qadissiya,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Najaf,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Main road,Politics (national),Roadblock or blockade,None,31.0
Iraq,Baghdad,University,Politics (national),Demonstration / protest,None,31.0
Iraq,Baghdad,University,Politics (national),Demonstration / protest,None,301.0
Iraq,Baghdad,School,Politics (national),March,None,1678.8664992466097
Iraq,Baghdad,University,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,University,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Syndicate/union,Human rights / civic freedoms,March,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),March,None,1678.8664992466097
